region,date,total_deaths
Asia,31/1/2024,0
Asia,30/6/2024,0
Europe,31/1/2020,0
Europe,30/6/2020,307
Europe,31/1/2021,3376
Europe,30/6/2021,5910
Europe,31/1/2022,8835
Europe,30/6/2022,9654
Europe,31/1/2023,9899
Europe,30/6/2023,9941
Europe,31/1/2024,9971
Europe,30/6/2024,9977
Asia,31/1/2021,0
Asia,30/6/2021,0
Asia,31/1/2022,0
Asia,30/6/2022,0
Europe,30/6/2020,0
Europe,31/1/2021,0
Europe,30/6/2021,0
Europe,31/1/2022,0
Europe,30/6/2022,0
Europe,31/1/2023,0
Europe,30/6/2023,0
Europe,31/1/2020,0
Europe,30/6/2020,249
Europe,31/1/2021,563
Europe,30/6/2021,792
Europe,31/1/2022,1532
Europe,30/6/2022,3330
Europe,31/1/2023,5162
Europe,30/6/2023,5566
Europe,31/1/2024,5732
Europe,30/6/2024,5732
Asia,31/1/2020,0
Asia,30/6/2020,159
Asia,31/1/2021,1527
Asia,30/6/2021,3103
Asia,31/1/2022,4501
Asia,30/6/2022,4628
Asia,31/1/2023,4628
Asia,30/6/2023,4628
Asia,31/1/2024,4628
Asia,30/6/2024,4628
Asia,31/1/2020,0
Asia,30/6/2020,4035
Asia,31/1/2021,11623
Asia,30/6/2021,22188
Asia,31/1/2022,29219
Asia,30/6/2022,30386
Asia,31/1/2023,30640
Asia,30/6/2023,30656
Asia,31/1/2024,30656
Asia,30/6/2024,30656
Asia,31/1/2020,0
Asia,30/6/2020,7
Asia,31/1/2021,2010
Asia,30/6/2021,3826
Asia,31/1/2022,5087
Asia,30/6/2022,5660
Asia,31/1/2023,5708
Asia,30/6/2023,5708
Asia,31/1/2024,5708
Asia,30/6/2024,5708
Asia,31/1/2020,0
Asia,30/6/2020,1236
Asia,31/1/2021,10669
Asia,30/6/2021,24372
Asia,31/1/2022,53891
Asia,30/6/2022,60518
Asia,31/1/2023,65451
Asia,30/6/2023,66482
Asia,31/1/2024,66864
Asia,30/6/2024,66864
Europe,31/1/2020,0
Europe,30/6/2020,1434
Europe,31/1/2021,37258
Europe,30/6/2021,75001
Europe,31/1/2022,105165
Europe,30/6/2022,116415
Europe,31/1/2023,118715
Europe,30/6/2023,119624
Europe,31/1/2024,120577
Europe,30/6/2024,120715
Europe,31/1/2020,0
Europe,30/6/2020,1571
Europe,31/1/2021,12791
Europe,30/6/2021,17076
Europe,31/1/2022,19913
Europe,30/6/2022,24110
Europe,31/1/2023,26039
Europe,30/6/2023,26913
Europe,31/1/2024,28080
Europe,30/6/2024,28484
Asia,31/1/2020,0
Asia,30/6/2020,110
Asia,31/1/2021,248
Asia,30/6/2021,588
Asia,31/1/2022,645
Asia,30/6/2022,678
Asia,31/1/2023,686
Asia,30/6/2023,690
Asia,31/1/2024,690
Asia,30/6/2024,690
Europe,31/1/2020,0
Europe,30/6/2020,1589
Europe,31/1/2021,18264
Europe,30/6/2021,33177
Europe,31/1/2022,59932
Europe,30/6/2022,65726
Europe,31/1/2023,67576
Europe,30/6/2023,68233
Europe,31/1/2024,68760
Europe,30/6/2024,68807
Europe,31/1/2020,0
Europe,30/6/2020,9073
Europe,31/1/2021,73182
Europe,30/6/2021,133282
Europe,31/1/2022,330728
Europe,30/6/2022,380892
Europe,31/1/2023,394984
Europe,30/6/2023,399436
Europe,31/1/2024,401884
Europe,30/6/2024,403091
Europe,31/1/2020,0
Europe,30/6/2020,42
Europe,31/1/2021,67
Europe,30/6/2021,90
Europe,31/1/2022,109
Europe,30/6/2022,115
Europe,31/1/2023,122
Europe,30/6/2023,125
Europe,31/1/2024,126
Europe,30/6/2024,126
Asia,31/1/2020,0
Asia,30/6/2020,1511
Asia,31/1/2021,6372
Asia,30/6/2021,7760
Asia,31/1/2022,8933
Asia,30/6/2022,9198
Asia,31/1/2023,9568
Asia,30/6/2023,9646
Asia,31/1/2024,9646
Asia,30/6/2024,9646
Europe,30/6/2020,
Europe,31/1/2021,
Europe,30/6/2021,
Europe,31/1/2022,
Europe,30/6/2022,
Europe,31/1/2023,
Europe,30/6/2023,
Europe,31/1/2020,0
Europe,30/6/2020,267
Europe,31/1/2021,4000
Europe,30/6/2021,7029
Europe,31/1/2022,13513
Europe,30/6/2022,16120
Europe,31/1/2023,17688
Europe,30/6/2023,18057
Europe,31/1/2024,18057
Europe,30/6/2024,18057
Asia,31/1/2020,0
